stage_id	tool_id	prerequisite	severity	detail
fastq.remove_chimeras	vsearch	missing_benchmark_support	blocking	vsearch cannot be treated as world-class closed for fastq.remove_chimeras until missing_benchmark_support is resolved
fastq.remove_duplicates	clumpify	pending_container_digest	blocking	clumpify cannot be treated as world-class closed for fastq.remove_duplicates until pending_container_digest is resolved
fastq.remove_duplicates	fastuniq	pending_container_digest	advisory	fastuniq cannot be treated as world-class closed for fastq.remove_duplicates until pending_container_digest is resolved
fastq.screen_taxonomy	centrifuge	missing_paper_archive	advisory	centrifuge cannot be treated as world-class closed for fastq.screen_taxonomy until missing_paper_archive is resolved
fastq.screen_taxonomy	centrifuge	missing_paper_root	advisory	centrifuge cannot be treated as world-class closed for fastq.screen_taxonomy until missing_paper_root is resolved
fastq.screen_taxonomy	centrifuge	missing_upstream_archive	advisory	centrifuge cannot be treated as world-class closed for fastq.screen_taxonomy until missing_upstream_archive is resolved
fastq.screen_taxonomy	centrifuge	pending_container_digest	advisory	centrifuge cannot be treated as world-class closed for fastq.screen_taxonomy until pending_container_digest is resolved
fastq.screen_taxonomy	centrifuge	source_backlog_missing_evidence_map	advisory	centrifuge cannot be treated as world-class closed for fastq.screen_taxonomy until source_backlog_missing_evidence_map is resolved
fastq.screen_taxonomy	diamond	missing_container_ref	advisory	diamond cannot be treated as world-class closed for fastq.screen_taxonomy until missing_container_ref is resolved
fastq.screen_taxonomy	diamond	missing_runtime_surface	advisory	diamond cannot be treated as world-class closed for fastq.screen_taxonomy until missing_runtime_surface is resolved
fastq.screen_taxonomy	diamond	missing_upstream_archive	advisory	diamond cannot be treated as world-class closed for fastq.screen_taxonomy until missing_upstream_archive is resolved
fastq.screen_taxonomy	diamond	registry_not_production	advisory	diamond cannot be treated as world-class closed for fastq.screen_taxonomy until registry_not_production is resolved
fastq.screen_taxonomy	kaiju	missing_paper_archive	advisory	kaiju cannot be treated as world-class closed for fastq.screen_taxonomy until missing_paper_archive is resolved
fastq.screen_taxonomy	kaiju	missing_paper_root	advisory	kaiju cannot be treated as world-class closed for fastq.screen_taxonomy until missing_paper_root is resolved
fastq.screen_taxonomy	kaiju	missing_upstream_archive	advisory	kaiju cannot be treated as world-class closed for fastq.screen_taxonomy until missing_upstream_archive is resolved
fastq.screen_taxonomy	kaiju	pending_container_digest	advisory	kaiju cannot be treated as world-class closed for fastq.screen_taxonomy until pending_container_digest is resolved
