stage_id	tool_id	stage_status	tool_status	is_default	execution_status	runtime_support	normalization_support	benchmark_support	registry_status	runtimes	container_ref	dockerfile	apptainer_def	evidence_count	claim_ids	decision_id	binding_id
fastq.filter_reads	seqkit	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/seqkit@sha256:ca3dc13e3fef5d34927c44b2d8cd2bc6708c2c256f42e51369d7b1203b0d2991	containers/docker/arm64/Dockerfile.seqkit	containers/apptainer/shared/seqkit.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.index_reference	bowtie2_build	governed	default	true	closed	runnable	observer_specialized	comparable	production	docker,apptainer	bijuxdna/bowtie2_build:2.5.4	containers/docker/arm64/Dockerfile.bowtie2_build	containers/apptainer/shared/bowtie2_build.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.index_reference	star	governed	allowed	false	closed	runnable	observer_specialized	comparable	production	docker,apptainer	bijuxdna/star:2.7.11b	containers/docker/arm64/Dockerfile.star	containers/apptainer/shared/star.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.infer_asvs	dada2	governed	default	true	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/dada2@sha256:930e06fb8e27965ccafae61d4161ab5e32933aea2555e68ad409ef7af43c8245	containers/docker/arm64/Dockerfile.dada2	containers/apptainer/shared/dada2.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.interleave_reads	bijux_dna	governed	disallowed	false	declared_only	declared_only	none	none	production	docker,apptainer	bijuxdna/bijux_dna:workspace	containers/docker/arm64/Dockerfile.bijux_dna	containers/apptainer/shared/bijux_dna.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.materialize_qc_manifest	bijux_dna	governed	disallowed	false	declared_only	declared_only	none	none	production	docker,apptainer	bijuxdna/bijux_dna:workspace	containers/docker/arm64/Dockerfile.bijux_dna	containers/apptainer/shared/bijux_dna.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.merge_pairs	pear	governed	default	true	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/pear@sha256:4e00e9ffabc5ed46115efab5b6bae946913f1713bb314fd4acb7c379c37efae6	containers/docker/arm64/Dockerfile.pear	containers/apptainer/shared/pear.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.merge_pairs	adapterremoval	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/adapterremoval@sha256:5b618834ce9fc6376c9605c3a69d738236b9be48fdf493c1bc0945568a50808d	containers/docker/arm64/Dockerfile.adapterremoval	containers/apptainer/shared/adapterremoval.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.merge_pairs	bbmerge	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/bbmerge@sha256:6182848b989c8dbf094e06c486190b5d54243ac8eea542daa2c5c059a11bba54	containers/docker/arm64/Dockerfile.bbmerge	containers/apptainer/shared/bbmerge.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.merge_pairs	flash2	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/flash2@sha256:e3dfc866d56d1ca6d62c58ade5981e0b00fc3c8bf8148ecbd196ab56293e1dd5	containers/docker/arm64/Dockerfile.flash2	containers/apptainer/shared/flash2.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
