tool_id	stage_ids	reference_status	registry_status	version	default_version	version_rule	upstream	citation	license	pinned_commit	pin_strategy	runtimes	container_ref	dockerfile	apptainer_def
fastx_clipper	fastq.trim_reads	governed	production	0.0.14	0.0.14	pinned	https://github.com/agordon/fastx_toolkit	software:http://hannonlab.cshl.edu/fastx_toolkit/	GPL-3.0	release:0.0.14	pinned	docker,apptainer	bijuxdna/fastx_clipper:0.0.14	containers/docker/arm64/Dockerfile.fastx_clipper	containers/apptainer/shared/fastx_clipper.def
flash2	fastq.merge_pairs	governed	production	2.2.00	2.2.00	pinned	https://github.com/dstreett/FLASH2	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC3198573/	GPL-3.0	sha256:e3dfc866d56d1ca6d62c58ade5981e0b00fc3c8bf8148ecbd196ab56293e1dd5	pinned	docker,apptainer	bijuxdna/flash2@sha256:e3dfc866d56d1ca6d62c58ade5981e0b00fc3c8bf8148ecbd196ab56293e1dd5	containers/docker/arm64/Dockerfile.flash2	containers/apptainer/shared/flash2.def
fqtools	fastq.validate_reads	governed	production	v2.3	v2.3	pinned	https://github.com/alastair-droop/fqtools	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC4908325/	GPL-3.0	sha256:d7190221f5582bdabccecb3bae06d463d81c0cb06d47a80fa4c1b3c4704d4bf6	pinned	docker,apptainer	bijuxdna/fqtools@sha256:d7190221f5582bdabccecb3bae06d463d81c0cb06d47a80fa4c1b3c4704d4bf6	containers/docker/arm64/Dockerfile.fqtools	containers/apptainer/shared/fqtools.def
kaiju	fastq.screen_taxonomy	governed	production	1.10.0	1.10.0	pinned	https://github.com/bioinformatics-centre/kaiju	paper:https://www.nature.com/articles/ncomms11257	GPL-3.0	sha256:4f30fd9becc62e873bc223231c717bba5b42db8a4f993979bf26c7fc00979f9b	pinned	docker,apptainer	bijuxdna/kaiju@sha256:4f30fd9becc62e873bc223231c717bba5b42db8a4f993979bf26c7fc00979f9b	containers/docker/arm64/Dockerfile.kaiju	containers/apptainer/shared/kaiju.def
kraken2	fastq.screen_taxonomy	governed	production	2.1.3	2.1.3	pinned	https://github.com/DerrickWood/kraken2	paper:https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1891-0	GPL-3.0	sha256:e493061d26aeea71812ed8b587a0e65f67617b192e225d8d53eba896dfe7cb35	pinned	docker,apptainer	bijuxdna/kraken2@sha256:e493061d26aeea71812ed8b587a0e65f67617b192e225d8d53eba896dfe7cb35	containers/docker/arm64/Dockerfile.kraken2	containers/apptainer/shared/kraken2.def
krakenuniq	fastq.screen_taxonomy	governed	production	1.0.4	1.0.4	pinned	https://github.com/fbreitwieser/krakenuniq	paper:https://genomebiology.biomedcentral.com/articles/10.1186/s13059-018-1568-0	GPL-3.0	git:f4e3796580c5c576b15e929c741e6e725b7e29b6	pinned	docker,apptainer	bijuxdna/krakenuniq:1.0.4	containers/docker/arm64/Dockerfile.krakenuniq	containers/apptainer/shared/krakenuniq.def
leehom	fastq.merge_pairs,fastq.trim_reads	governed	production	bbddce1542ce	bbddce1542ce	pinned	https://github.com/grenaud/leeHom	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC4191382/	GPL-3.0	sha256:146f111ee336a7d01cba5861a9672d75a7739ad7ece923925bbd90c2550341b1	pinned	docker,apptainer	bijuxdna/leehom@sha256:146f111ee336a7d01cba5861a9672d75a7739ad7ece923925bbd90c2550341b1	containers/docker/arm64/Dockerfile.leehom	containers/apptainer/shared/leehom.def
lighter	fastq.correct_errors	governed	production	1.1.2	1.1.2	pinned	https://github.com/mourisl/Lighter	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC4248469/	GPL-3.0	sha256:e65d145062ddedd1e584f7aec7db45c13ddf33f849888e61d6c3b91e89730085	pinned	docker,apptainer	bijuxdna/lighter@sha256:e65d145062ddedd1e584f7aec7db45c13ddf33f849888e61d6c3b91e89730085	containers/docker/arm64/Dockerfile.lighter	containers/apptainer/shared/lighter.def
multiqc	fastq.report_qc	governed	production	1.24	1.24	pinned	https://github.com/multiqc/multiqc	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC5039924/	GPL-3.0	sha256:40af0025fcc5bc4ea15e5cd2a4fd7bcfc98ea06c9ca781e6268f3c81d12787ec	pinned	docker,apptainer	bijuxdna/multiqc@sha256:40af0025fcc5bc4ea15e5cd2a4fd7bcfc98ea06c9ca781e6268f3c81d12787ec	containers/docker/arm64/Dockerfile.multiqc	containers/apptainer/shared/multiqc.def
musket	fastq.correct_errors	governed	production	1.1	1.1	pinned	https://sourceforge.net/projects/musket/	paper:https://academic.oup.com/bioinformatics/article/29/3/308/257257	GPL-3.0	sha256:d2761679719e961709c0c4842842c0bcb5b3fdc23a5046aa6cd2b28a6dfaca68	pinned	docker,apptainer	bijuxdna/musket@sha256:d2761679719e961709c0c4842842c0bcb5b3fdc23a5046aa6cd2b28a6dfaca68	containers/docker/arm64/Dockerfile.musket	containers/apptainer/shared/musket.def
