repo_id	clone_url	mirror_path	archive_path	reference_count	sample_sources
ablab/spades	https://github.com/ablab/spades.git	science/docs/upstream/github-repos/mirrors/ablab/spades.git	science/docs/upstream/github-repos/archives/ablab--spades.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/bayeshammer.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
agordon/fastx_toolkit	https://github.com/agordon/fastx_toolkit.git	science/docs/upstream/github-repos/mirrors/agordon/fastx_toolkit.git	science/docs/upstream/github-repos/archives/agordon--fastx_toolkit.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/fastx_clipper.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
alastair-droop/fqtools	https://github.com/alastair-droop/fqtools.git	science/docs/upstream/github-repos/mirrors/alastair-droop/fqtools.git	science/docs/upstream/github-repos/archives/alastair-droop--fqtools.tar.gz	4	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
alexdobin/STAR	https://github.com/alexdobin/STAR.git	science/docs/upstream/github-repos/mirrors/alexdobin/STAR.git	science/docs/upstream/github-repos/archives/alexdobin--STAR.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/star.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
apcamargo/pydustmasker	https://github.com/apcamargo/pydustmasker.git	science/docs/upstream/github-repos/mirrors/apcamargo/pydustmasker.git	science/docs/upstream/github-repos/archives/apcamargo--pydustmasker.tar.gz	1	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
arq5x/bedtools2	https://github.com/arq5x/bedtools2.git	science/docs/upstream/github-repos/mirrors/arq5x/bedtools2.git	science/docs/upstream/github-repos/archives/arq5x--bedtools2.tar.gz	4	configs/ci/registry/tool_registry.toml;docs/20-science/TOOL_INDEX.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/bedtools.yaml
bbuchfink/diamond	https://github.com/bbuchfink/diamond.git	science/docs/upstream/github-repos/mirrors/bbuchfink/diamond.git	science/docs/upstream/github-repos/archives/bbuchfink--diamond.tar.gz	4	docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/diamond.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
benjjneb/dada2	https://github.com/benjjneb/dada2.git	science/docs/upstream/github-repos/mirrors/benjjneb/dada2.git	science/docs/upstream/github-repos/archives/benjjneb--dada2.tar.gz	4	configs/ci/registry/tool_registry.toml;domain/fastq/tools/dada2.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
bijux/bijux-genomics	https://github.com/bijux/bijux-genomics.git	science/docs/upstream/github-repos/mirrors/bijux/bijux-genomics.git	science/docs/upstream/github-repos/archives/bijux--bijux-genomics.tar.gz	8	configs/ci/registry/tool_registry.toml;docs/20-science/TOOL_INDEX.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/rxy.yaml;domain/fastq/tools/bijux_dna.yaml
biobakery/MetaPhlAn	https://github.com/biobakery/MetaPhlAn.git	science/docs/upstream/github-repos/mirrors/biobakery/MetaPhlAn.git	science/docs/upstream/github-repos/archives/biobakery--MetaPhlAn.tar.gz	1	docs/30-operations/CONTAINER_LICENSE_INDEX.md
