stage_id	execution_status	default_tool	closure_status	digest_class	evidence_readiness	license_status	package_status	planner_status	lock_blockers	proof_blockers	asset_blockers	blockers
fastq.screen_taxonomy	closed	kraken2	blocked	immutable	ready	spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	resolved_image_digest:missing;image_size_bytes:missing;resolved_sif_sha256:missing;frontend_resolved_sif_sha256:missing;pinned_commit:missing;frontend_smoke_version_output_sha256:missing	docker_cyclonedx_sbom;docker_spdx_sbom;apptainer_sbom;smoke_manifest	taxonomy_database_lock	license:spdx_noassertion;upstream_license_id_noassertion;planner:digest_missing;lock:resolved_image_digest:missing;lock:image_size_bytes:missing;lock:resolved_sif_sha256:missing;lock:frontend_resolved_sif_sha256:missing;lock:pinned_commit:missing;lock:frontend_smoke_version_output_sha256:missing;proof:docker_cyclonedx_sbom;proof:docker_spdx_sbom;proof:apptainer_sbom;proof:smoke_manifest;asset:taxonomy_database_lock
fastq.report_qc	closed	multiqc	blocked	immutable	ready	spdx_noassertion;upstream_license_id_noassertion	ready	digest_missing	resolved_image_digest:missing;image_size_bytes:missing;resolved_sif_sha256:missing;frontend_resolved_sif_sha256:missing;source_sha256:missing;pinned_commit:placeholder_zero;frontend_smoke_version_output_sha256:missing	docker_cyclonedx_sbom;docker_spdx_sbom;apptainer_sbom;smoke_manifest		license:spdx_noassertion;upstream_license_id_noassertion;planner:digest_missing;lock:resolved_image_digest:missing;lock:image_size_bytes:missing;lock:resolved_sif_sha256:missing;lock:frontend_resolved_sif_sha256:missing;lock:source_sha256:missing;lock:pinned_commit:placeholder_zero;lock:frontend_smoke_version_output_sha256:missing;proof:docker_cyclonedx_sbom;proof:docker_spdx_sbom;proof:apptainer_sbom;proof:smoke_manifest
fastq.build_contaminant_db	declared_only		declared_only									no_default_tool
fastq.build_rrna_db	declared_only		declared_only									no_default_tool
fastq.build_taxonomy_db	declared_only		declared_only									no_default_tool
fastq.capture_provenance_snapshot	declared_only		declared_only									no_default_tool
fastq.classify_layout	declared_only		declared_only									no_default_tool
fastq.concatenate_lanes	declared_only		declared_only									no_default_tool
fastq.deinterleave_reads	declared_only		declared_only									no_default_tool
fastq.demultiplex_reads	declared_only		declared_only									no_default_tool
